,Afghanistan,Africa,Albania,Algeria,Angola,Argentina,Armenia,Asia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bolivia,Brazil,Bulgaria,Canada,Cape Verde,Chile,China,Colombia,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Eswatini,Ethiopia,Europe,European Union,Finland,France,Georgia,Germany,Greece,Guatemala,Guyana,High income,Hong Kong,Hungary,India,Indonesia,International,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liechtenstein,Lithuania,Low income,Lower middle income,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mexico,Moldova,Montenegro,Morocco,Mozambique,Myanmar,Nepal,Netherlands,Nigeria,North America,North Macedonia,Norway,Oceania,Pakistan,Palestine,Panama,Paraguay,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,South America,South Korea,Sri Lanka,Suriname,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Venezuela,World,Zambia,Zimbabwe,nu
299,0.020043169904409498,0.21817180392076865,0.2324455205811138,0.14322781525687597,0.17615539182853315,0.28510223953261926,0.37379946215904725,0.13826468818318238,0.00510204081632653,0.155354544879499,0.07200437218199207,0.08493736633058356,0.08847812692544671,0.4215546018121125,0.26521866376787356,0.013998868778280544,0.13647724511403478,0.2966931216931217,0.3760653721114138,0.054989816700611,0.10972122944960686,0.001057292010837243,0.2728761088289576,0.020860495436766623,0.11319207108680793,0.002927223175532452,0.05290728129910948,0.3696254452559997,0.1461389427068918,0.13333333333333333,0.04707004160887656,0.08878256246677299,0.007391304347826087,0.008426966292134831,0.15345699831365936,0.6357045064070441,0.6480878030045645,0.03575615474794842,0.6192431002018626,0.3015463917525773,0.13492754090259648,0.07960753707213736,0.018365945760384483,0.005671077504725898,0.549995330344754,0.046242774566473986,0.0832195472511678,0.0880518025630873,0.05676832813573656,0.0,0.11865891534602215,0.2731039585645579,0.11413638021149872,0.039657260777892424,0.41579873844799764,0.024475524475524476,0.01577408433364112,0.2063974829575249,0.0025105488422740127,0.13745019920318724,0.34219769192172605,0.03650586701434159,0.024641297567061758,0.12934676633084172,0.12994350282485875,0.19201807228915663,0.035578787623303264,0.140528776860587,0.0,0.00303951367781155,0.050408553193219234,0.012306289881494986,0.021791767554479417,0.1568627450980392,0.032418952618453865,0.12920233221684654,0.13550373955125386,0.12814645308924486,0.1880554863360744,0.07113821138211382,0.20132712127629535,0.1868627240528067,0.43581549846529033,0.048295454545454544,0.23173052581418552,0.16214427531436135,0.05674223561787446,0.006263701847792045,0.06402716806096248,0.016800632494399788,0.10624758966448129,0.14794599253088192,0.05744612184889016,0.29050009928233056,0.14891674780915287,0.11125265392781317,0.15077135132269523,0.42646107933349914,0.0022786458333333335,0.06563706563706563,0.008130081300813009,0.03415806871681859,0.0005634861006761833,0.07708974797582392,0.24994470249944703,0.033641683972059654,0.21359020166417203,0.008547838756677998,0.04759809959528418,0.009442870632672332,0.05856353591160221,0.09828009828009827,0.0,0.00012810658467845247,0.0076481835564053535,0.024390243902439025,0.36648681665478977,0.03484353698360863,0.19752782947641956,0.24849027063296802,0.3064875645236978,0.21739316675837844,0.27014165803793705,0.0028810536424749623,0.3669724770642202,0.16179926149714668,0.5340866178055663,0.023094045631608235,0.0029910269192422734,0.42209631728045327
300,0.032069071847055194,0.17682217825013768,0.22921711057304278,0.14893617021276595,0.1520428667113195,0.3482960077896787,0.6146753745678064,0.16146337190258914,0.00510204081632653,0.17932823075463344,0.0905861456483126,0.07088298197372442,0.0822550831792976,0.430138292799237,0.28369846977172003,0.024321266968325792,0.2585048772867706,0.3398148148148148,0.24048853352078026,0.09979633401221996,0.06626161543959971,0.0027753915284477633,0.24307912127165565,0.002607561929595828,0.19316473000683526,0.008377914605834258,0.047668936616029334,0.5635591695750729,0.1036534735676723,0.06962025316455696,0.08789875173370319,0.09037745879851143,0.01608695652173913,0.011235955056179775,0.2154300168634064,0.5160959087980528,0.5105780167511116,0.05656506447831184,0.2922596732879849,0.29381443298969073,0.14138386670534017,0.14003790835098673,0.11620322691383453,0.0661625708884688,0.4688050352225424,0.028901734104046242,0.07470355731225296,0.10597361584594435,0.06201878182426837,0.0,0.13872740304212788,0.33370329263780985,0.0850856934484016,0.039791844242070794,0.5376020732482519,0.026573426573426574,0.024853801169590642,0.3985317252228631,0.0022988158073834336,0.4163346613545817,0.388861013547416,0.049369839200347675,0.042420461634435434,0.29395515112122195,0.14689265536723164,0.10617469879518072,0.04982716465728016,0.1550420925052411,0.0,0.0022796352583586625,0.033944469287369404,0.015952597994530537,0.0387409200968523,0.20980392156862746,0.007481296758104738,0.18428234710333705,0.2855257369115706,0.20823798627002288,0.33125674889941026,0.04552845528455285,0.20697444585627559,0.06117849093055704,0.4339654374973721,0.04586038961038961,0.2663201941834319,0.41561879549966907,0.042458393395361026,0.006263701847792045,0.06833429967696512,0.018974831993675056,0.12938681064404164,0.12869864981327206,0.05429052963746549,0.4623719967094999,0.2007667964946446,0.10912951167728238,0.2504373641520437,0.40641631434966424,0.0035807291666666665,0.07335907335907337,0.003484320557491289,0.10547931483521987,0.001314800901577761,0.0645455582164443,0.3368723733687237,0.041230885406834054,0.3064394122286064,0.010004856726566294,0.0402076368115432,0.0066100094428706326,0.07403314917127071,0.10565110565110565,0.0,0.0005551285336066274,0.04780114722753346,0.03353658536585366,0.0,0.03501791319235281,0.24177406327913756,0.31089241780362337,0.33616846550915064,0.25424812265434765,0.354695864819017,0.006036493346138016,0.218144750254842,0.1184961396441759,0.5182436427172409,0.011964385086254869,0.0013293452974410102,0.4235127478753541
301,0.02929386370644465,0.2428143040737643,0.2510088781275222,0.1660612350804359,0.13596784996651037,0.33894839337877314,0.8609296965040338,0.177402707211359,0.004373177842565598,0.21468783604276045,0.1349911190053286,0.07852123434158265,0.0919901417128774,0.44635193133047213,0.4400033447612677,0.02785633484162896,0.2484552365744437,0.36507936507936506,0.23943414462700993,0.15478615071283094,0.07183702644746247,0.0031057952818344015,0.2594808596773233,0.08735332464146023,0.32508544087491453,0.004945997779347936,0.09481403876375065,0.46702407080919656,0.1407417658455577,0.2371308016877637,0.14875173370319,0.08133971291866028,0.05434782608695652,0.010299625468164793,0.25379426644182124,0.576455007516644,0.5705422692290648,0.06301289566236812,0.3184848433444725,0.27883376288659795,0.1740522307089067,0.17248299698963096,0.1285616203226914,0.024574669187145556,0.5128598970007472,0.011560693641618497,0.0823212360761768,0.12043081885520585,0.07098683862783445,0.0,0.1358604762283985,0.29914909359970404,0.08107451075726267,0.03243461486698668,0.6109236712141216,0.044755244755244755,0.02812403816558941,0.32375458835867854,0.006382238623130322,0.5069721115537849,0.408429503261415,0.04676227727075185,0.07829070492825951,0.30061748456288595,0.12994350282485875,0.19352409638554216,0.049236995194334374,0.17801076061320756,0.0,0.005319148936170213,0.032562299280458555,0.010938924339106655,0.03631961259079903,0.14705882352941177,0.0199501246882793,0.17352065500558245,0.37879454465464146,0.34439359267734554,0.3310075587673395,0.05772357723577236,0.19850345898630523,0.20972416013738326,0.3429340285077576,0.05965909090909091,0.27386713921939454,0.5757776307081403,0.05281090289608177,0.006263701847792045,0.07520914437173859,0.013835814995388062,0.15908214423447745,0.2105716748060902,0.07300892889159824,0.5338552747283919,0.2409931840311587,0.10615711252653928,0.2832529290144728,0.3950758517781646,0.0146484375,0.07648464791321934,0.006387921022067364,0.13302614444555744,0.001314800901577761,0.17795643745010833,0.5777482857774828,0.07034170285067019,0.30795766071706393,0.012141816415735794,0.029473869435157486,0.004721435316336166,0.057458563535911604,0.10073710073710074,0.0,0.00017080877957126997,0.017208413001912046,0.026422764227642278,0.19128575791509722,0.03653974192321106,0.27355409628823263,0.31312905390293,0.36241787893007976,0.26119075940649844,0.3665987908238575,0.008917546988612978,0.2650356778797146,0.15978516280631083,0.5638271519307181,0.011686143572621035,0.0005538938739337543,0.42492917847025496
302,0.03484427998766574,0.22569919014299994,0.22195318805488298,0.15879605604566685,0.130609511051574,0.3229552093476144,0.9154821359969266,0.1774941155858896,0.00510204081632653,0.2816749952558669,0.13868014756114222,0.07332722273143905,0.103573629081947,0.46924177396280403,0.5000627142737687,0.023048642533936653,0.22655951678411498,0.35568783068783066,0.2680783762411036,0.1120162932790224,0.10864903502501787,0.0016520187669331924,0.3330058939096267,0.09517601043024772,0.37949419002050583,0.003936610477440193,0.0,0.4697225920195733,0.1190146692499308,0.14472573839662448,0.12083911234396671,0.09516214779372674,0.035217391304347825,0.012172284644194757,0.20278246205733558,0.6372615255207961,0.6499756266895136,0.05509964830011723,0.39554884565147325,0.27528994845360827,0.20124184902295703,0.13502062660274278,0.08067284586337109,0.045368620037807186,0.5744759979720354,0.017341040462427744,0.07883578871721164,0.11745390981872966,0.06281163556918089,0.0,0.16510711157123517,0.281465038845727,0.10489850492281512,0.028890583643622986,0.6559336951738302,0.05314685314685315,0.031086488150200063,0.3610907184058731,0.00668471438725972,0.3789840637450199,0.38133467134972404,0.0453715775749674,0.07829070492825951,0.3141046473838154,0.2033898305084746,0.23795180722891565,0.0639490768063401,0.17640362945492663,0.0,0.00911854103343465,0.02638318630838652,0.011394712853236098,0.01694915254237288,0.20784313725490197,0.029925187032418952,0.18446842823471032,0.40123185217773866,0.40503432494279173,0.3588337901819088,0.044715447154471545,0.1879147253988423,0.2537297413330471,0.4339654374973721,0.060876623376623376,0.3104016201807812,0.5698213103904699,0.06486698990957934,0.005324146570623238,0.0892901515779011,0.02052312557649229,0.15387581951407636,0.21832806664751508,0.0629325492164808,0.5717527586304711,0.25705939629990265,0.08959660297239914,0.3435826750781954,0.4331758269087292,0.0006510416666666666,0.07997793712079426,0.006387921022067364,0.1386356806571171,0.001314800901577761,0.1716273235260577,0.5507631055076311,0.07762884651689636,0.3075338387008514,0.011073336571151044,0.05155727608657399,0.004721435316336166,0.05856353591160221,0.09828009828009827,0.0,0.0005124263387138099,0.11089866156787763,0.042682926829268296,0.0,0.036761675279794556,0.26832180356076835,0.29344665622903154,0.3384267949319568,0.3005697113879672,0.3730978765456966,0.008643160927424887,0.2558613659531091,0.13561597851628063,0.6062971146848635,0.011129660545353366,0.003212584468815775,0.4263456090651558
303,0.037927844588344126,0.2775545174517044,0.25746569814366427,0.16554229372080956,0.19356999330207636,0.3256815968841285,0.9212447176334998,0.17530983630283595,0.002186588921282799,0.35593649187171866,0.13963656237190872,0.06232813932172319,0.09882932840418977,0.4625655698617072,0.41926582490174763,0.020786199095022623,0.19337313847328774,0.3824074074074074,0.2988313856427379,0.18533604887983707,0.1087205146533238,0.0021806647723518137,0.29853545275942134,0.08344198174706649,0.37894736842105264,0.003532855556677097,0.12257726558407543,0.48951174756233584,0.1648214779961251,0.17679324894514767,0.07324895977808599,0.08878256246677299,0.043478260869565216,0.009363295880149813,0.2057335581787521,0.6727955651800415,0.6869964695629053,0.10082063305978899,0.41961968414445894,0.27319587628865977,0.20821382147883163,0.18798082283420672,0.09423274974253347,0.08506616257088846,0.6117815401857188,0.04046242774566474,0.11807402084081926,0.11653645204593083,0.051042162200257236,0.0,0.15949271322768177,0.21294857565667777,0.09262185486811718,0.0305055852137634,0.7598405945919515,0.05454545454545454,0.029778393351800554,0.41122181436811744,0.008877663677197865,0.5901394422310757,0.3366783743100853,0.05180356366797045,0.08858390517779165,0.2845303867403315,0.15254237288135594,0.18197791164658633,0.058511086754911054,0.18332350628930819,0.0,0.005319148936170213,0.03248099516240498,0.012306289881494986,0.01937046004842615,0.14901960784313725,0.0,0.18608113137327875,0.4258688957325121,0.36613272311212813,0.27045435667414236,0.1024390243902439,0.1543131441479599,0.3774820221101213,0.46974729849051844,0.0689935064935065,0.3392372641579676,0.6154864328259431,0.06526012318175861,0.004071406201064829,0.06684336950219498,0.016602977994465674,0.15850366370998842,0.1568514794599253,0.07164628680030122,0.6135364366153235,0.28334956183057447,0.08195329087048832,0.3470285744579335,0.4473265356876399,0.0009765625,0.0731752160323589,0.006968641114982578,0.1547630972653511,0.0016904583020285499,0.20538259778766108,0.39769962397699626,0.07219180668302813,0.27795749977199447,0.012238950947061681,0.055692415977476685,0.003777148253068933,0.055248618784530384,0.09582309582309582,0.0,0.00021351097446408745,0.030592734225621414,0.032520325203252036,0.3818589025755879,0.03680923242763387,0.3022790322014257,0.2621337508387385,0.358077193805725,0.3298032535166251,0.35995493127964323,0.005213335162573741,0.24057084607543322,0.10372608257804633,0.6299063403828518,0.025041736227045076,0.0014401240722277612,0.42776203966005666
304,0.020351526364477335,0.22590318434956447,0.19451170298627926,0.1510119356512714,0.16543871399866042,0.23722005842259006,0.9147137917787168,0.16531014099741773,0.0036443148688046646,0.33835157188943005,0.1496106025413308,0.05468988695386495,0.08133086876155268,0.4687649022412971,0.3536039802659085,0.017816742081447963,0.16443052035963482,0.2384920634920635,0.20147614445127845,0.20162932790224034,0.12044317369549679,0.0015859380162558648,0.3284217419777341,0.03129074315514994,0.37853725222146273,0.00868073079640658,0.08695652173913043,0.41121865217860615,0.1559645723775256,0.28945147679324895,0.09058599167822469,0.09516214779372674,0.058260869565217394,0.00749063670411985,0.16020236087689713,0.5175276505118477,0.5165546479164512,0.05949589683470106,0.29771335515936964,0.2694909793814433,0.15097704298129708,0.2291225331698071,0.10298661174047374,0.035916824196597356,0.4808277297470381,0.017341040462427744,0.14042400287459575,0.11338570890513487,0.055376429339112354,0.0,0.15569005335669348,0.14776174620791713,0.04825574328430777,0.010228343277555963,0.7763923524522028,0.062237762237762236,0.03374115112342259,0.3461982170949135,0.009573357934695482,0.6947211155378487,0.29553437029603613,0.04206866579747936,0.06706175920149719,0.27608059798505036,0.1638418079096045,0.25100401606425704,0.03756007082033555,0.17336543501048218,0.11906744379683597,0.005319148936170213,0.026789706898654418,0.007292616226071103,0.021791767554479417,0.19607843137254902,0.007481296758104738,0.19076417317950625,0.3691157061152662,0.3146453089244851,0.3148102001827394,0.03739837398373984,0.1708315685444021,0.269185360094451,0.4136988605306311,0.06574675324675325,0.3061694935445922,0.7174056915949703,0.03525095007207443,0.003758221108675227,0.08092437670835749,0.014659375411780208,0.14095642113382184,0.16920425165182418,0.06440276831498548,0.6211386264998724,0.24385345666991237,0.09044585987261146,0.30498860202512856,0.4435215120616762,0.0009765625,0.07391064533921676,0.006387921022067364,0.18200941600721227,0.002253944402704733,0.1747633709659026,0.39902676399026765,0.06683028129129696,0.2480860948824833,0.012044681884409908,0.02102762625373922,0.0018885741265344666,0.049723756906077346,0.09336609336609336,0.0,0.00017080877957126997,0.036328871892925434,0.024390243902439025,0.18161457803115139,0.03508132272280524,0.3180812585595393,0.25072690673227466,0.3214306663538245,0.29897820993979973,0.3285516008522772,0.005762107284949925,0.30988786952089703,0.1423296408190668,0.5265680857084034,0.0047301057317751805,0.0005538938739337543,0.42917847025495753
305,0.028060437866173297,0.21007323392015667,0.2639225181598063,0.17125064867669954,0.15405224380442062,0.16088120740019474,0.9377641183250096,0.16666031886287982,0.002186588921282799,0.31349231450439624,0.16054105752151934,0.08493736633058356,0.09661121380160197,0.4659036719122556,0.24644619115310645,0.010746606334841629,0.08765230673100288,0.16203703703703703,0.21043845004832615,0.1120162932790224,0.11493924231593995,0.0015859380162558648,0.2719830922188486,0.0,0.2978810663021189,0.0048450590491571615,0.07805133577789418,0.23538301011045948,0.13119291447550513,0.13248945147679325,0.08685852981969487,0.0962254120148857,0.034782608695652174,0.00749063670411985,0.1745362563237774,0.49033126923902925,0.4813211811453979,0.05216881594372802,0.3916727451612356,0.28849871134020616,0.13488457034816892,0.1870888616345189,0.02832131822863028,0.08695652173913043,0.4922200208133205,0.04046242774566474,0.13934602946460653,0.10920403295122022,0.04750074880631464,0.0,0.15367922274428605,0.19667036625971143,0.06636684088975325,0.029518639809788704,0.731137841670334,0.025874125874125874,0.02358417974761465,0.3417933927635029,0.010299299768606041,0.34113545816733065,0.30506773707977924,0.0,0.07548346849656894,0.2257068573285668,0.14124293785310735,0.22163654618473896,0.05109181350644971,0.16835568985849056,0.0,0.001519756838905775,0.03890402048863775,0.019143117593436645,0.026634382566585957,0.27450980392156865,0.0024937655860349127,0.1373899019972708,0.23845138583369996,0.4267734553775744,0.2873992856549547,0.048373983739837395,0.0986869970351546,0.3031018568208651,0.3662700248076357,0.045048701298701296,0.34367489166530163,0.57180675049636,0.039837504914165905,0.0031318509238960224,0.09301747701482647,0.017788904994070365,0.1423062090242962,0.1568514794599253,0.08548786172768674,0.4870791138342836,0.18634371957156767,0.06963906581740976,0.28224566611885704,0.457125093260383,0.0029296875,0.06876264019121162,0.008130081300813009,0.14514674947410597,0.0007513148009015778,0.1857110274831794,0.29683698296836986,0.05176515008495375,0.17055349009383097,0.009422049538610977,0.03492873482315678,0.0066100094428706326,0.06740331491712707,0.09828009828009827,0.0,0.00012810658467845247,0.0497131931166348,0.012195121951219513,0.13254606535681562,0.033385117783202814,0.2894616708220669,0.28584209349138895,0.3411103941811356,0.3481038726535239,0.2694146416690533,0.0034298257648511456,0.22833843017329256,0.10473313192346426,0.5110609068259111,0.01335559265442404,0.000775451423507256,0.43059490084985835
306,0.02343509096515572,0.15454601089329062,0.25907990314769974,0.1567202906071614,0.12926992632283993,0.2336416747809153,0.4587014982712255,0.15825074840606648,0.0032798833819241984,0.26155987095958,0.0814318896024047,0.06416131989000917,0.10696241528034504,0.4487362899380067,0.1324734509574379,0.004807692307692308,0.07377547123962926,0.32103174603174606,0.2976891310078201,0.06924643584521385,0.09120800571837026,0.003237956783189057,0.2957373340477466,0.048239895697522815,0.15926179084073822,0.003532855556677097,0.10319539025667888,0.3328895765120714,0.1303625795737614,0.10928270042194092,0.0319001386962552,0.10047846889952153,0.026521739130434784,0.003745318352059925,0.15134907251264756,0.7758205669697187,0.8128100211235357,0.03194607268464244,0.8998235822971621,0.29832474226804123,0.27127311010130306,0.12833091760508417,0.0,0.05671077504725898,0.6720968086241862,0.03468208092485549,0.12867409270571326,0.0924942296734816,0.046126468981799604,0.0,0.16502747471529824,0.2525342212356641,0.09092014099914915,0.03535058992418465,0.5440565253532834,0.08811188811188811,0.01873653431825177,0.6163607760880965,0.007304789703724989,0.3605577689243028,0.3808329152032112,0.08700564971751412,0.041172800998128506,0.17549561260968477,0.12429378531073447,0.20933734939759036,0.04110108759801029,0.14987675248951782,0.0,0.0007598784194528875,0.03390381722834262,0.016408386508659983,0.01937046004842615,0.42745098039215684,0.0,0.11670388289294133,0.08578970523537176,0.5675057208237986,0.20981809120358832,0.05772357723577236,0.16970210362840604,0.3148009015777611,0.34949333557583145,0.02922077922077922,0.27767337274581927,0.37127729980145596,0.09225527453806841,0.006263701847792045,0.09666197299759795,0.02355382790881539,0.11164674122637872,0.12209135305946567,0.08200953849463907,0.441891470229484,0.15250730282375852,0.08365180467091295,0.21422891374648784,0.44807261875155435,0.0029296875,0.07004964147821291,0.0040650406504065045,0.08033657217269358,0.00018782870022539445,0.1288060212110845,0.12320283123202831,0.029148574664904663,0.1639762015890643,0.007285089849441476,0.024194967446771073,0.0018885741265344666,0.05966850828729282,0.09090909090909091,0.0,0.0004270219489281749,0.01338432122370937,0.0,0.08052529777053853,0.036492184775371736,0.24560171366365838,0.2760008946544397,0.27814113092444864,0.2745916629048361,0.2647157869558786,0.002195088489504733,0.0998980632008155,0.12755958375293722,0.6179663080803577,0.017529215358931552,0.001661681621801263,0.43201133144475923
307,0.04070305272895467,0.22174170253564798,0.3075060532687651,0.2101712506486767,0.23375753516409914,0.2956426484907498,0.5101805608912793,0.17712848208776727,0.004373177842565598,0.2645328610285281,0.16969531356742723,0.07027192178429575,0.1022181146025878,0.4430138292799237,0.10841207458817627,0.009756787330316742,0.10277883847675912,0.5345238095238095,0.43326596959845354,0.12627291242362526,0.07591136526090064,0.0011233727615145709,0.18265166398761684,0.01564537157757497,0.1950786056049214,0.006561017462400323,0.10319539025667888,0.43496563882992123,0.1872405203432051,0.10843881856540084,0.04750346740638003,0.10473152578415737,0.03434782608695652,0.012172284644194757,0.23608768971332209,0.6225928842436824,0.6377594280396472,0.06946072684642439,0.6157741174874048,0.3129832474226804,0.08092429662573722,0.24149849481547553,0.06505320974939924,0.013232514177693762,0.6170015476571673,0.05202312138728324,0.14333453108156666,0.11167151148753707,0.05238120408055394,0.0,0.17782909930715934,0.26600073991860895,0.03622219521089097,0.03795253689829976,0.6904552344628625,0.02727272727272727,0.033279470606340414,0.5068694284216047,0.0069266949985632405,0.2450199203187251,0.3948820873055695,0.0777922642329422,0.05333749220212102,0.24569385765355867,0.2542372881355932,0.22414658634538154,0.0589326363713009,0.17798005110062892,0.0,0.0007598784194528875,0.04284727021423635,0.026891522333637192,0.026634382566585957,0.20784313725490197,0.04987531172069826,0.1628209899516189,0.3123625164980202,0.8775743707093822,0.37336988121937037,0.02926829268292683,0.16899618805590852,0.334227755715359,0.3269982760795526,0.05560064935064935,0.4200944112697869,0.6029119788219722,0.0808544096448696,0.006890072032571249,0.10875507330406693,0.02085254974304915,0.13054377169301967,0.13559322033898305,0.06314770323089612,0.5492865855388194,0.1579844206426485,0.09596602972399151,0.4099559985156126,0.45836856503357376,0.0022786458333333335,0.0869645155359441,0.0017421602787456446,0.1881198036662326,0.0016904583020285499,0.1743642376553769,0.2601194426011944,0.04685671134604493,0.1755052333971749,0.011461874696454589,0.03598451522083407,0.0056657223796034,0.049723756906077346,0.10319410319410319,0.0,0.0002989153642497224,0.032504780114722756,0.0508130081300813,0.12419831008856765,0.037142132462509116,0.32011798995680724,0.2254529188101096,0.29443336461755043,0.4212206783157104,0.30742406455653576,0.00425298394841542,0.30479102956167176,0.13259483048002685,0.6121135453583606,0.032832498608792435,0.002326354270521768,0.43342776203966005
308,0.02929386370644465,0.28579588339691153,0.3196125907990315,0.2843798650752465,0.1580709979906229,0.2592989289191821,0.9120245870149827,0.18518955811668278,0.0029154518950437317,0.4365234992725663,0.1676458532586419,0.07974335472043996,0.09346888478126926,0.46924177396280403,0.3276193661677398,0.017816742081447963,0.20807442635470547,0.5362433862433862,0.25630436692733505,0.2219959266802444,0.06004288777698356,0.0018502610189651755,0.2587962136095731,0.01694915254237288,0.3390293916609706,0.011002321590794388,0.09114719748559455,0.5660058288058144,0.1295322446720177,0.18143459915611815,0.11468446601941748,0.11004784688995216,0.09043478260869565,0.012172284644194757,0.15978077571669477,0.6135908082181974,0.5897957073430137,0.08587338804220399,0.0,0.3696842783505155,0.3381782633450428,0.29501616679674436,0.11397185032612427,0.14933837429111532,0.5600767824741167,0.017341040462427744,0.151598993891484,0.12122514413744483,0.05912927039836496,0.0,0.16827267659472803,0.26444691083980765,0.05287468092864957,0.03449822798438832,0.7468583443352403,0.02097902097902098,0.024007386888273315,0.4885159937073938,0.01060177553273544,0.7440239043824701,0.3828399397892624,0.04650152107779226,0.09762944479101685,0.30679233019174523,0.1977401129943503,0.16390562248995985,0.0491526852710564,0.19083710036687632,0.0,0.0,0.04195292491564698,0.011850501367365542,0.06053268765133172,0.16470588235294117,0.04987531172069826,0.16204565190423023,0.44874615046194455,1.0,0.47719910291552453,0.032926829268292684,0.16038401807143865,0.35515723945476013,0.32291973258209644,0.06290584415584416,0.34525337661757477,0.786896095301125,0.08150963176516839,0.0031318509238960224,0.10784394930837406,0.022466728159177756,0.08330119552641728,0.18098247629991382,0.034998386344891885,0.7004226590644768,0.45624391431353456,0.09639065817409767,0.458622700524837,0.4845312111415071,0.00390625,0.07832322118036404,0.005807200929152149,0.24161073825503357,0.001314800901577761,0.18896111301174592,0.44813094448130947,0.06464036246932225,0.30061856555024435,0.012141816415735794,0.038975893014253034,0.0018885741265344666,0.08397790055248619,0.10565110565110565,0.0,0.00025621316935690495,0.04780114722753346,0.01016260162601626,0.12592894227832638,0.03790304682793824,0.34445341854830214,0.25967345112950124,0.3696328015016424,0.34326676266199213,0.40062693359602436,0.006722458499108245,0.23037716615698267,0.12755958375293722,0.6137969302721931,0.010294936004451864,0.0018832391713747645,0.4348441926345609
